Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
Hungary,7990.0,7990.0,7990.0,7990.0,8010.0,7740.0,7950.0,7950.0,7950.0,7950.0,7960.0,7940.0,7890.0,7890.0,7900.0,7880.0,7890.0,7890.0,7890.0,7900.0,7750.0,7250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,62900.0,62700.0,62500.0,62800.0,62800.0,63000.0,63100.0,63100.0,63200.0,63500.0,63300.0,63300.0,63300.0,64000.0,64000.0,64500.0,64600.0,65400.0,65800.0,66000.0,66700.0,67400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,6440.0,6440.0,6440.0,6460.0,,,,,,,3370.0,5210.0,5280.0,,4680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,5370.0,5730.0,6000.0,6010.0,6040.0,6050.0,6150.0,6150.0,6410.0,7130.0,7270.0,7340.0,7550.0,7900.0,8220.0,8370.0,8370.0,8590.0,8560.0,8560.0,8580.0,9020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,2340.0,2800.0,2340.0,2600.0,2600.0,2020.0,2340.0,1900.0,1900.0,1900.0,2030.0,,2030.0,,2140.0,,,,2370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,1950.0,1950.0,1910.0,1910.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1890.0,1460.0,1460.0,2170.0,1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,610.0,610.0,666.0,663.0,669.0,676.0,676.0,615.0,853.0,910.0,941.0,958.0,1040.0,1050.0,1030.0,1080.0,1140.0,1150.0,1190.0,1280.0,1340.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,16000.0,16000.0,16100.0,16100.0,16300.0,16400.0,16300.0,16300.0,16300.0,16800.0,16600.0,16700.0,16900.0,17000.0,16700.0,16700.0,16700.0,16800.0,16700.0,16700.0,,16800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,20200.0,20200.0,20200.0,29800.0,29800.0,29800.0,22200.0,20100.0,27600.0,20100.0,20000.0,20000.0,20000.0,24500.0,20100.0,20100.0,19400.0,19400.0,16700.0,16700.0,12800.0,17000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,293.0,293.0,293.0,293.0,292.0,292.0,507.0,506.0,508.0,508.0,293.0,294.0,508.0,509.0,508.0,,,,,,293.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,13500.0,13700.0,13600.0,13600.0,13500.0,13600.0,13600.0,13800.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14300.0,14800.0,14800.0,14800.0,14800.0,15500.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,2780.0,2630.0,2630.0,2630.0,2630.0,2630.0,2630.0,2630.0,1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,2410.0,2410.0,2410.0,2410.0,2330.0,2310.0,2270.0,2270.0,2270.0,2270.0,2270.0,2270.0,2260.0,1880.0,1900.0,1870.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2000.0,2000.0,2000.0,1910.0,1910.0,1700.0,1780.0,1770.0,1780.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1880.0,1910.0,1910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,883.0,883.0,883.0,883.0,883.0,883.0,883.0,,,,,854.0,,673.0,673.0,673.0,673.0,673.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,2230.0,1610.0,1610.0,1620.0,1640.0,1640.0,1640.0,1670.0,1670.0,1670.0,1670.0,1670.0,1660.0,1670.0,2210.0,2250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,729.0,729.0,729.0,729.0,734.0,734.0,733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,717.0,,,,,728.0,728.0,728.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,7930.0,,,12000.0,,,,,,,11900.0,11900.0,11900.0,14300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1330.0,1320.0,1220.0,1140.0,1140.0,1120.0,1120.0,1110.0,1080.0,1080.0,1150.0,1150.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1150.0,1150.0,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1820.0,1810.0,1810.0,1820.0,1810.0,1810.0,1810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,249.0,249.0,248.0,248.0,249.0,249.0,249.0,249.0,239.0,239.0,249.0,249.0,249.0,249.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1990.0,2190.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,3120.0,3110.0,3110.0,3110.0,3110.0,3130.0,3130.0,3130.0,3070.0,3070.0,,3120.0,3120.0,3120.0,3120.0,3120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,4750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2740.0,2810.0,2810.0,2810.0,2800.0,2810.0,2810.0,2810.0,2810.0,2810.0,2780.0,2900.0,2900.0,2890.0,3020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,3910.0,3910.0,3910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,3510.0,3510.0,3530.0,3530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,5210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,4020.0,4020.0,4010.0,4180.0,4180.0,4180.0,4080.0,4080.0,4080.0,4090.0,4090.0,4110.0,4110.0,,,4150.0,,,4220.0,4210.0,4130.0,4130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,7790.0,,,7790.0,7790.0,7790.0,7790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,485.0,485.0,485.0,485.0,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,441.0,441.0,441.0,441.0,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,1610.0,1690.0,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,456.0,468.0,491.0,491.0,,,,,,,,,479.0,,,,,,,509.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,23400.0,23300.0,23200.0,22900.0,22600.0,20100.0,20200.0,19900.0,19600.0,19600.0,19400.0,19400.0,19600.0,19800.0,19700.0,19700.0,19600.0,19000.0,18900.0,18500.0,18400.0,18500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2850.0,2860.0,2790.0,2810.0,2810.0,2810.0,2880.0,2820.0,2850.0,2840.0,2840.0,2840.0,2840.0,2840.0,2840.0,2790.0,2540.0,2540.0,2550.0,2550.0,2550.0,2550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
